,source,author,title,description,url,urlToImage,publishedAt,content
0,"{'id': 'engadget', 'name': 'Engadget'}",Christine Fisher,howard university and amazon want to diversify the entertainment industry,howard university and amazon studios are working together to diversify the entertainment industry today they announced howard entertainment a program that will give african american latinx and native american students a chance to study and train alongside,https://www.engadget.com/2019/10/11/amazon-howard-university-diversity-entertainment-industry/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D5145%252C3213%252C0%252C20%26quality%3D85%26format%3Djpg%26resize%3D1600%252C999%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2019-10%252F52035940-ec2f-11e9-aa7b-14e8643b1449%26client%3Da1acac3e1b3290917d92%26signature%3D90a323120f00e88a7d36ec1c47e5c599bbde2998&client=amp-blogside-v2&signature=b4a14ed62c75acea27a5c8178a14e335aebfd5c8,2019-10-11T14:23:00Z,the new program will send students to los angeles for two semesters the second of which will include a fellowship in the industry students interested in all aspects of entertainment project greenlighting pr and marketing entertainment law and finance 
1,"{'id': 'the-verge', 'name': 'The Verge'}",Russell Brandom,mark zuckerberg took on china in a speech defending free expression,in a speech at georgetown university on october 17th facebook ceo mark zuckerberg drew a sharp contrast with chinese companies like tiktok owner bytedance ,https://www.theverge.com/2019/10/17/20919464/mark-zuckerberg-facebook-china-free-speech-georgetown-tiktok-bytedance,https://cdn.vox-cdn.com/thumbor/1s2MYUZgWfbZFXAslSPtSYd_kkE=/0x0:2880x1508/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19296493/Screen_Shot_2019_10_17_at_1.43.25_PM.png,2019-10-17T18:45:21Z,is that the internet that we want in a speech at georgetown university on thursday mark zuckerberg laid out facebooks approach to moderation in terms of an ongoing commitment to free expression and in one particular section drew a sharp contrast with chin 
2,"{'id': 'cnn', 'name': 'CNN'}","Julia Jones, CNN",penn state investigates new allegations against jerry sandusky,penn state university is investigating a new allegation of abuse by convicted child molester and former assistant football coach jerry sandusky a university spokesperson told cnn thursday ,https://www.cnn.com/2019/10/31/us/sandusky-new-allegation/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191031150409-jerry-sandusky-file-super-tease.jpg,2019-10-31T21:13:28Z, cnn penn state university is investigating a new allegation of abuse by convicted child molester and former assistant football coach jerry sandusky a university spokesperson told cnn thursday wyatt dubois said an incident report was filed on tuesday with 
4,"{'id': 'the-verge', 'name': 'The Verge'}",Zoe Schiffer,mark zuckerberg on lies in political ads i dont think its right for a private company to censor politicians,facebooks ceo mark zuckerberg rallied people around the first amendment during a live speech at georgetown university he defended the companys policy of letting politicians lie in political ads ,https://www.theverge.com/2019/10/17/20919223/mark-zuckerberg-facebook-speech-live-politics-threats-free-expression,https://cdn.vox-cdn.com/thumbor/sIycmXYlUtgRYI0GQGS6bbEgsGY=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10595031/jbareham_180405_1777_facebook_0002.jpg,2019-10-17T18:39:24Z,facebooks ceo rallies people around the first amendment illustration by james bareham the verge mark zuckerberg defended facebooks policy of letting politicians lie in political ads along with free speech more broadly in a speech today at georgetown unive 
5,"{'id': None, 'name': 'Gizmodo.com'}",Ryan F. Mandelbaum,physicists win nobel prize for finding exoplanet around a sun like star and for helping develop theory of the universe,the 2019 physics nobel prize will be awarded half to james peebles of princeton university and half jointly to michel mayor and didier queloz of the university of geneva in switzerland for theoretical work improving our understanding of the universe and for,https://gizmodo.com/physicists-win-nobel-prize-for-finding-exoplanet-around-1838872593,"https://i.kinja-img.com/gawker-media/image/upload/s--Tf1pvQfw--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/lrllezubqj8rt2dbjybz.png",2019-10-08T14:54:00Z,the 2019 physics nobel prize will be awarded half to james peebles of princeton university and half jointly to michel mayor and didier queloz of the university of geneva in switzerland for theoretical work improving our understanding of the universe and for 
6,"{'id': None, 'name': 'Gizmodo.com'}","Tom McKay on Earther, shared by Tom McKay to Gizmodo",report university of iowa faculty told not to promote greta thunberg visit on school social media,university of iowa officials have told faculty at the school that they should not promote 16 year old swedish environmental activist great thunbergs surprise appearance at a friday climate strike in iowa city on its social media channels according to a repo,https://earther.gizmodo.com/report-university-of-iowa-faculty-told-not-to-promote-1838812300,"https://i.kinja-img.com/gawker-media/image/upload/s--JN9NnTIn--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ivz5h9yumrjhwuoeuswm.jpg",2019-10-05T23:00:00Z,university of iowa officials have told faculty at the school that they should not promote 16 year old swedish environmental activist great thunbergs surprise appearance at a friday climate strike in iowa city on its social media channels according to a repor 
7,"{'id': 'cnn', 'name': 'CNN'}","Amir Vera, CNN",lori loughlin s daughters are no longer enrolled at usc university says,lori loughlin s daughters are no longer enrolled at the university of southern california the school said in a statement to cnn on monday ,https://www.cnn.com/2019/10/21/us/college-admissions-scandal-lori-loughlin-usc/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190713085718-college-admissions-scam-lori-loughlin-walking-super-tease.jpg,2019-10-22T00:14:18Z, cnn lori loughlin s daughters are no longer enrolled at the university of southern california the school said in a statement to cnn on monday olivia jade giannulli and isabella rose giannulli are not currently enrolled the statement from the usc regist 
8,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Anna Schaverien,oxford professor is accused of selling ancient texts to hobby lobby,an investigation found that bible fragments in a museum started by the owners of the arts and crafts chain had been illegally taken from the university ,https://www.nytimes.com/2019/10/16/world/europe/oxford-professor-bible-hobby-lobby.html,https://static01.nyt.com/images/2019/10/16/world/16oxford/16oxford-facebookJumbo.jpg,2019-10-16T16:22:47Z,but stephen rouse an oxford spokesman said wednesday that the professor was still employed by the university mr rouse said in a statement that the university was working with the egypt exploration society and was also conducting its own internal investig 
9,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Billy Witz,beer here merchandising of college sports leads to team branded ales,the university of louisiana at lafayette and more than 20 universities license their own brands of beer those deals seem like no brainers but they come as the n c a a grapples with letting athletes strike their own ,https://www.nytimes.com/2019/11/01/sports/ncaafootball/beer-here-the-merchandising-of-college-sports-leads-to-team-branded-ales.html,https://static01.nyt.com/images/2019/11/02/sports/01beers1-print/01beers03-facebookJumbo.jpg,2019-11-02T04:20:27Z,early in the summer of 2015 knott received a call from a local beer distributor saying that louisiana lafayette was interested in branding its own beer and was looking for someone to make it so knott arranged four samples for tarver and several others to ta 
10,"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,we re not ready for the next pandemic,if the seeds of a pandemic illness were planted tomorrow how would the world fare well according to a simulation carried out on friday by johns hopkins university the answer is terribly read more ,https://gizmodo.com/were-not-ready-for-the-next-pandemic-1839169413,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dp8s4sxefbjlp0hpbvfg.jpg",2019-10-18T19:00:00Z,if the seeds of a pandemic illness were planted tomorrow how would the world fare well according to a simulation carried out on friday by johns hopkins university the answer is terribly at a hotel near new york citys central park the johns hopkins cen 
11,"{'id': 'cnn', 'name': 'CNN'}",,news icon trump base will follow him to hell and won t budge,former abc news anchor sam donaldson reacts to a new impeachment poll from quinnipiac university showing public opinion over whether president donald trump should be removed from office ,https://www.cnn.com/videos/politics/2019/10/15/sam-donaldson-trump-impeachment-inquiry-poll-voters-ctn-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/191015003046-sam-donaldson-super-tease.jpg,2019-10-15T04:44:16Z,chat with us in facebook messenger find out what s happening in the world as it unfolds 
12,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Connie Loizos,don valentine who founded sequoia capital has died at age 87,sequoia capital founder don valentine passed way at his home in woodside ca today at age 87 of natural causes sequoia posted a tribute to valentine shortly afterward calling him one of a generation of leaders who forged silicon valley a native of new ,http://techcrunch.com/2019/10/25/don-valentine-who-founded-sequoia-capital-has-died-at-age-87/,https://techcrunch.com/wp-content/uploads/2019/10/Screen-Shot-2019-10-25-at-8.38.36-PM.png?w=602,2019-10-26T03:40:23Z,sequoia capital founder don valentine passed way at his home in woodside ca today at age 87 of natural causes sequoia posted a tribute to valentine shortly afterward calling him one of a generation of leaders who forged silicon valley a native of ne 
13,"{'id': 'engadget', 'name': 'Engadget'}",Rachel England,pioneers of lithium ion batteries win the 2019 nobel prize in chemistry,this year s nobel prize in chemistry has been awarded to three scientists credited with the invention of the rechargeable lithium ion battery john b goodenough of the university of texas at austin m stanley whittingham of binghamton university and akira yos,https://www.engadget.com/2019/10/09/pioneers-lithium-ion-batteries-win-2019-nobel-prize-chemistry/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D952%252C457%252C0%252C0%26quality%3D85%26format%3Djpg%26resize%3D1600%252C768%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-uploaded-images%252F2019-10%252F8ab37470-ea84-11e9-b4fa-19ffe0896d34%26client%3Da1acac3e1b3290917d92%26signature%3D1560fc09847ef04c6df5159220738d9e2a61ea4f&client=amp-blogside-v2&signature=7ded42cf399ce6ff9d4f0bc90459cd723b95494d,2019-10-09T11:35:00Z,rechargeable lithium ion batteries can be found in pretty much everything from mobile phones to electric vehicles and can store significant amounts of energy from solar and wind power given their prominent place in everyday life and the fact that they were 
14,"{'id': 'cnn', 'name': 'CNN'}","Amanda Watts, CNN",texas a m commerce police say there was an incident outside greenville that may or not have involved students ,following reports of a shooting early sunday morning the texas a m university commerce police department tweeted there was an event outside greenville texas that may or not have involved students at this time ,https://www.cnn.com/2019/10/27/us/texas-am-commerce-shooting/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191027045523-party-venue-greenville-map-super-tease.jpg,2019-10-27T09:04:01Z, cnn following reports of a shooting early sunday morning the texas a amp m university commerce police department tweeted there was an event outside greenville texas that may or not have involved students at this time there was no active shooter in com 
