,Screen Name,User Name,Tweet Created At,User Location,Tweet Coordinates,Retweet Count,Retweeted,Phone Type,Favorite Count,Favorited,Replied,Tweet
0,LianneBoudreau,Lianne Boudreau,2019-11-03 14:18:26,"Wolfville, Nova Scotia",None,9,False,Twitter for iPhone,0,False,None,last week dr jonathon fowles eim canada chair conducted an eim educational mini course at dalhousie university the event was well attended and included students from med physio nursing ot and kinesiology exerciseismedicine exercise university acsm 
1,lokolHalifax,lokol.com Halifax,2019-11-03 14:00:48,,None,0,False,Lokol.me Scheduler,0,False,None,building on dalhousie university campus closed after chemicals e lokol halifax
2,investinginpro,Investing in Progress,2019-11-03 13:57:47,"Toronto, Ontario",None,10,False,Twitter for Android,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
3,loritards,Laura,2019-11-03 12:58:54,,None,10,False,Twitter for iPad,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
4,MaHashtag,Twitta Ma Hashtag,2019-11-03 12:16:15,,None,10,False,Twitter Web App,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
5,UoDCareers,"Careers, UoD",2019-11-03 11:55:03,"Dundee, Scotland",None,0,False,Buffer,0,False,None,our next postgraduate open day will take place on wednesday 6 november 2019 from 2 7pm in the dalhousie building this pg open day will give you the opportunity to find out about applying funding careers university life and the city find out more here 
6,francoisbeloeil,Frank Beloeil,2019-11-03 11:52:00,rive-sud Montréal,None,10,False,Twitter for iPad,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
7,davidbewart,Ewart Dave 🎺,2019-11-03 05:59:00,Australia,None,10,False,Twitter Web App,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
8,eddieyugo,Edvard Dreskai,2019-11-03 05:32:44,"Vancouver, British Columbia",None,10,False,Twitter for Android,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
9,DeborahVanderH2,Deborah VanderHamm,2019-11-03 04:45:06,"MD, MI, AZ; ❤️ in  Bavaria",None,0,False,Twitter for iPhone,0,False,None,open dialogue edward snowden live from russia dalhousie university via 
10,val_burke,Valerie Burke,2019-11-03 03:26:04,"ontario, canada",None,10,False,Twitter Web App,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
11,NORTHICA_Canada,NORTHICA Cannabis,2019-11-03 03:04:38,Canada,None,10,False,Twitter for iPhone,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
12,BrazeauErin,Erin Brazeau,2019-11-03 03:03:27,,None,10,False,Twitter for iPhone,0,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
13,BenjaminA_Smith,Benjamin A. Smith,2019-11-03 02:59:33,"Mississauga, Ontario",None,10,False,Twitter Web Client,26,False,None,industry cult legend rick simpson on big pharma s stonewalling of hemp in modern therapeutic development if such companies truly had no knowledge of hemp s medicinal virtues then they deserve a phd in stupid dalhousie university april 18 2009 
14,NizarAlaufi,Nizar Al Aufi,2019-11-02 17:56:22,Oman,None,0,False,Curious Cat,0,False,None, engineering dalhousie university 
15,jasonmacke,Jason Mackenzie,2019-11-02 16:31:59,Halifax Nova Scotia CANADA,None,0,False,Twitter Web Client,0,False,None,booze is back at dalhousie university s student run bars via 
16,OpenCanada,OpenCanada,2019-11-02 16:28:46,Canada,None,3,False,TweetDeck,0,False,None,our 10th episode of battlerhythm is out stef speaks with elikem tsamenyi phd student at dalhousie university about his research on african security governance 
18,skimber,Stephen Kimber,2019-11-02 14:53:25,"Halifax, Nova Scotia, Canada",None,2,False,Twitter for iPhone,0,False,None,when someone in the audience asked dalhousie university neuroscientist dr alon friedman whether his conclusion that canadian diplomats in havana had become ill after exposure to an insecticide 
19,kevinrns,kevin russell,2019-11-02 14:48:30,,None,2,False,Twitter Web App,0,False,None,when someone in the audience asked dalhousie university neuroscientist dr alon friedman whether his conclusion that canadian diplomats in havana had become ill after exposure to an insecticide 
20,skimber,Stephen Kimber,2019-11-02 14:20:20,"Halifax, Nova Scotia, Canada",None,2,False,Facebook,6,False,None,when someone in the audience asked dalhousie university neuroscientist dr alon friedman whether his conclusion that canadian diplomats in havana had become ill after exposure to an insecticide 
21,Edel_PLopez,Edel,2019-11-02 02:03:50,"Saskatoon, Saskatchewan",None,3,False,Twitter for iPhone,0,False,None,now hiring graduate student in plant biology dalhousie university halifax nova scotia canada jobs
22,karenpeknik,Karen Peknik,2019-11-02 01:44:11,,None,1,False,Twitter Web App,0,False,None,congratulations to riley cook a masters student at dalhousie university riley received the pengrowth nova scotia innovation grant and won the energy3 conference research poster competition for his work with small satellites we wish you continued success in your studies 
23,CBCNS,CBC Nova Scotia,2019-11-01 23:57:16,Halifax,None,0,False,IFTTT,10,False,None,booze is back at dalhousie university s student run bars 
24,KrystelKPhoto,KrystelKoussaPhotography,2019-11-01 23:16:36,Lebanon,None,1,False,Twitter for iPhone,0,False,None,after winning the audiencechoiceaward for bestshortfilm in montreal weeping willow is now heading to halifax nov 5 2019 dalhousie university henri hicks academic building cinema shortfilm lebanon lebanese filmmaker films 
25,KrystelKPhoto,KrystelKoussaPhotography,2019-11-01 23:16:31,Lebanon,None,1,False,Twitter for iPhone,0,False,None,after winning the audiencechoiceaward for bestshortfilm in montreal weeping willow is now heading to halifax tuesday nov 5 2019 dalhousie university henri hicks academic building room 217 6299 south 
26,PBrooksArenburg,P. Brooks Arenburg,2019-11-01 23:08:54,"Halifax, Nova Scotia",None,5,False,Twitter for Android,0,False,None,job opportunity dr sarah burm of dalhousie university is looking for a research coordinator to join a qualitative research study exploring the lived experiences of indigenous medical trainees and practicing physicians see attachment for further details on this opportunity 
27,veggiest,Esme ⓥ,2019-11-01 21:18:11,watching the Office,None,1,False,Twitter for iPhone,0,False,None,did you know that according to a 2019 dalhousie university survey british columbians are 3x more likely to have plant based diets than canadians in the prairies or atlantic region 
28,tmrwfoods,@TMRWFoods,2019-11-01 21:01:29,"Vancouver, Canada",None,1,False,Hootsuite Inc.,0,False,None,did you know that according to a 2019 dalhousie university survey british columbians are 3x more likely to have plant based diets than canadians in the prairies or atlantic region 
29,FredEScene,Fred-E-Scene,2019-11-01 19:21:55,"Fredericton, New Brunswick",None,0,False,Twitter Web App,0,False,None,unb fredericton students renzo flores and ellen doria won first prize at a mathematics competition held at dalhousie university on oct 26 and 27 
30,RogerInOntario,Roger Spencer,2019-11-01 18:38:47,Ontario Canada,None,6,False,Twitter Web App,0,False,None,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study 
31,SackvilleNB,Andrew Nurse,2019-11-01 18:13:42,Sackville NB,None,4,False,Twitter Web App,0,False,None,a memorial gathering for michael cross will be held on 6 december 2019 at 5 00 pm at the dalhousie university club pub you can also make a donation to support an undergraduate essay prize in canadian or labour history named in michaels honour at 
32,matthunterx73,Matt Hunter,2019-11-01 17:34:49,"Hamilton, Ontario",None,6,False,Twitter Web App,0,False,None,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study 
33,NunatsiaqNews,Nunatsiaq News,2019-11-01 16:57:01,"Iqaluit, Nunavut",None,0,False,Twitter Web App,1,False,1190311744230612992,that s according to an analysis of the month s temperature readings by patrick duplessis a weather watcher from dalhousie university 
34,WaterdownBum,Albert MCNatty,2019-11-01 16:14:45,"Ontario, CA",None,6,False,Twitter Web App,0,False,None,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study 
35,CTVNews,CTV News,2019-11-01 16:08:19,,None,0,False,SocialNewsDesk,2,False,None,building on dalhousie university campus closed after chemicals enter water supply 
36,joanjuddx69,Joan Judd,2019-11-01 15:45:41,My name is Joan. I’m a fun loving gal who loves business. In my personal time you can find me relaxing with a glass of wine. Cheers to you!,None,6,False,Twitter Web App,0,False,None,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study 
37,JackFeeder24,Jack Feeder,2019-11-01 15:13:00,Toronto,None,6,False,Twitter Web App,0,False,None,happy worldveganday what percentage of canadians are vegan according to a dalhousie university study 
