source,author,title,description,url,urlToImage,publishedAt,content
"{'id': 'engadget', 'name': 'Engadget'}",Christine Fisher,Howard University and Amazon want to diversify the entertainment industry,"Howard University and Amazon Studios are working together to diversify the entertainment industry. Today, they announced Howard Entertainment, a program that will give African American, Latinx and Native American students a chance to study and train alongside…",https://www.engadget.com/2019/10/11/amazon-howard-university-diversity-entertainment-industry/,https://o.aolcdn.com/images/dims?thumbnail=1200%2C630&quality=80&image_uri=https%3A%2F%2Fo.aolcdn.com%2Fimages%2Fdims%3Fcrop%3D5145%252C3213%252C0%252C20%26quality%3D85%26format%3Djpg%26resize%3D1600%252C999%26image_uri%3Dhttps%253A%252F%252Fs.yimg.com%252Fos%252Fcreatr-images%252F2019-10%252F52035940-ec2f-11e9-aa7b-14e8643b1449%26client%3Da1acac3e1b3290917d92%26signature%3D90a323120f00e88a7d36ec1c47e5c599bbde2998&client=amp-blogside-v2&signature=b4a14ed62c75acea27a5c8178a14e335aebfd5c8,2019-10-11T14:23:00Z,"The new program will send students to Los Angeles for two semesters, the second of which will include a fellowship in the industry. Students interested in all aspects of entertainment -- project greenlighting, PR and marketing, entertainment law and finance -… [+751 chars]"
"{'id': 'the-verge', 'name': 'The Verge'}",Russell Brandom,Mark Zuckerberg took on China in a speech defending free expression,"In a speech at Georgetown University on October 17th, Facebook CEO Mark Zuckerberg drew a sharp contrast with Chinese companies like TikTok owner ByteDance.",https://www.theverge.com/2019/10/17/20919464/mark-zuckerberg-facebook-china-free-speech-georgetown-tiktok-bytedance,https://cdn.vox-cdn.com/thumbor/1s2MYUZgWfbZFXAslSPtSYd_kkE=/0x0:2880x1508/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19296493/Screen_Shot_2019_10_17_at_1.43.25_PM.png,2019-10-17T18:45:21Z,"Is that the internet that we want?
In a speech at Georgetown University on Thursday, Mark Zuckerberg laid out Facebooks approach to moderation in terms of an ongoing commitment to free expression and in one particular section, drew a sharp contrast with Chin… [+3313 chars]"
"{'id': 'cnn', 'name': 'CNN'}","Julia Jones, CNN",Penn State investigates new allegations against Jerry Sandusky,"Penn State University is investigating a new allegation of abuse by convicted child molester and former assistant football coach Jerry Sandusky, a university spokesperson told CNN Thursday.",https://www.cnn.com/2019/10/31/us/sandusky-new-allegation/index.html,https://cdn.cnn.com/cnnnext/dam/assets/191031150409-jerry-sandusky-file-super-tease.jpg,2019-10-31T21:13:28Z,"(CNN)Penn State University is investigating a new allegation of abuse by convicted child molester and former assistant football coach Jerry Sandusky, a university spokesperson told CNN Thursday. 
Wyatt DuBois said an incident report was filed on Tuesday with… [+1982 chars]"
"{'id': 'mashable', 'name': 'Mashable'}",Danica D'Souza,This 3D food printer cooks its prints with a laser — Good Algorithms,"Researchers at Columbia University are leading the food 3D printing revolution by using food printers and lasers to cook food. Read more... More about Mashable Video, 3d Printing, Lasers, Columbia University, and 3d Food Printer",https://mashable.com/video/3d-food-printing-laser-cooking/,https://mondrian.mashable.com/2019%252F10%252F15%252Fa8%252Fbcd6d6cd19184cc19139b899958e9d9a.52e99.png%252F1200x630.png?signature=yad34JT6hIfuaEAnMRkOrs9HMIA=,2019-10-15T20:52:06Z,
"{'id': 'the-verge', 'name': 'The Verge'}",Zoe Schiffer,Mark Zuckerberg on lies in political ads: ‘I don’t think it’s right for a private company to censor politicians’,Facebook’s CEO Mark Zuckerberg rallied people around the First Amendment during a live speech at Georgetown University. He defended the company’s policy of letting politicians lie in political ads.,https://www.theverge.com/2019/10/17/20919223/mark-zuckerberg-facebook-speech-live-politics-threats-free-expression,https://cdn.vox-cdn.com/thumbor/sIycmXYlUtgRYI0GQGS6bbEgsGY=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/10595031/jbareham_180405_1777_facebook_0002.jpg,2019-10-17T18:39:24Z,"Facebooks CEO rallies people around the First Amendment
Illustration by James Bareham / The Verge
Mark Zuckerberg defended Facebooks policy of letting politicians lie in political ads along with free speech more broadly in a speech today at Georgetown Unive… [+2146 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Ryan F. Mandelbaum,Physicists Win Nobel Prize for Finding Exoplanet Around a Sun-Like Star and for Helping Develop Theory of the Universe,"The 2019 Physics Nobel Prize will be awarded half to James Peebles of Princeton University, and half jointly to Michel Mayor and Didier Queloz of the University of Geneva in Switzerland, for theoretical work improving our understanding of the universe and for…",https://gizmodo.com/physicists-win-nobel-prize-for-finding-exoplanet-around-1838872593,"https://i.kinja-img.com/gawker-media/image/upload/s--Tf1pvQfw--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/lrllezubqj8rt2dbjybz.png",2019-10-08T14:54:00Z,"The 2019 Physics Nobel Prize will be awarded half to James Peebles of Princeton University, and half jointly to Michel Mayor and Didier Queloz of the University of Geneva in Switzerland, for theoretical work improving our understanding of the universe and for… [+5502 chars]"
"{'id': None, 'name': 'Gizmodo.com'}","Tom McKay on Earther, shared by Tom McKay to Gizmodo",Report: University of Iowa Faculty Told Not to Promote Greta Thunberg Visit on School Social Media,"University of Iowa officials have told faculty at the school that they should not promote 16-year-old Swedish environmental activist Great Thunberg’s surprise appearance at a Friday climate strike in Iowa City on its social media channels, according to a repo…",https://earther.gizmodo.com/report-university-of-iowa-faculty-told-not-to-promote-1838812300,"https://i.kinja-img.com/gawker-media/image/upload/s--JN9NnTIn--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/ivz5h9yumrjhwuoeuswm.jpg",2019-10-05T23:00:00Z,"University of Iowa officials have told faculty at the school that they should not promote 16-year-old Swedish environmental activist Great Thunbergs surprise appearance at a Friday climate strike in Iowa City on its social media channels, according to a repor… [+3289 chars]"
"{'id': 'cnn', 'name': 'CNN'}","Amir Vera, CNN","Lori Loughlin's daughters are no longer enrolled at USC, university says","Lori Loughlin's daughters are no longer enrolled at the University of Southern California, the school said in a statement to CNN on Monday.",https://www.cnn.com/2019/10/21/us/college-admissions-scandal-lori-loughlin-usc/index.html,https://cdn.cnn.com/cnnnext/dam/assets/190713085718-college-admissions-scam-lori-loughlin-walking-super-tease.jpg,2019-10-22T00:14:18Z,"(CNN)Lori Loughlin's daughters are no longer enrolled at the University of Southern California, the school said in a statement to CNN on Monday.
""Olivia Jade Giannulli and Isabella Rose Giannulli are not currently enrolled,"" the statement from the USC regist… [+757 chars]"
"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Anna Schaverien,Oxford Professor Is Accused of Selling Ancient Texts to Hobby Lobby,An investigation found that Bible fragments in a museum started by the owners of the arts-and-crafts chain had been illegally taken from the university.,https://www.nytimes.com/2019/10/16/world/europe/oxford-professor-bible-hobby-lobby.html,https://static01.nyt.com/images/2019/10/16/world/16oxford/16oxford-facebookJumbo.jpg,2019-10-16T16:22:47Z,"But Stephen Rouse, an Oxford spokesman, said Wednesday that the professor was still employed by the university.
Mr. Rouse said in a statement that the university was working with the Egypt Exploration Society and was also conducting its own internal investig… [+810 chars]"
"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Billy Witz,"Beer, Here: Merchandising of College Sports Leads to Team-Branded Ales","The University of Louisiana at Lafayette and more than 20 universities license their own brands of beer. Those deals seem like no-brainers, but they come as the N.C.A.A. grapples with letting athletes strike their own.",https://www.nytimes.com/2019/11/01/sports/ncaafootball/beer-here-the-merchandising-of-college-sports-leads-to-team-branded-ales.html,https://static01.nyt.com/images/2019/11/02/sports/01beers1-print/01beers03-facebookJumbo.jpg,2019-11-02T04:20:27Z,"Early in the summer of 2015, Knott received a call from a local beer distributor saying that Louisiana-Lafayette was interested in branding its own beer and was looking for someone to make it. So Knott arranged four samples for Tarver and several others to ta… [+1267 chars]"
"{'id': None, 'name': 'Gizmodo.com'}",Ed Cara,We're Not Ready for the Next Pandemic,"If the seeds of a pandemic illness were planted tomorrow, how would the world fare? Well, according to a simulation carried out on Friday by Johns Hopkins University, the answer is: terribly. Read more...",https://gizmodo.com/were-not-ready-for-the-next-pandemic-1839169413,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dp8s4sxefbjlp0hpbvfg.jpg",2019-10-18T19:00:00Z,"If the seeds of a pandemic illness were planted tomorrow, how would the world fare? Well, according to a simulation carried out on Friday by Johns Hopkins University, the answer is: terribly.
At a hotel near New York Citys Central Park, the Johns Hopkins Cen… [+4149 chars]"
"{'id': 'cnn', 'name': 'CNN'}",,News icon: Trump base will follow him to hell and won't budge,Former ABC News anchor Sam Donaldson reacts to a new impeachment poll from Quinnipiac University showing public opinion over whether President Donald Trump should be removed from office.,https://www.cnn.com/videos/politics/2019/10/15/sam-donaldson-trump-impeachment-inquiry-poll-voters-ctn-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/191015003046-sam-donaldson-super-tease.jpg,2019-10-15T04:44:16Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.
